User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIAS2PLDHG4NPC52BB7,2021-03-03T13:57:09Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-2,101.50.109.61,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.955 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-194303441336-03dcd5b3""}]",X6FV411DP77EK9XN,01444cb8-4858-497e-85f2-d31c08b2fe0c,false,AwsApiCall,194303441336,Management
CloudTrail,ASIAS2PLDHG4NPC52BB7,2021-03-03T13:57:09Z,s3.amazonaws.com,CreateBucket,us-east-2,101.50.109.61,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.955 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-194303441336-03dcd5b3""}]",A1Q9HJZ1JEQ60J37,16745ac5-45aa-4015-b469-af8660bae379,false,AwsApiCall,194303441336,Management
CloudTrail,ASIAS2PLDHG4NPC52BB7,2021-03-03T13:57:09Z,cloudtrail.amazonaws.com,StartLogging,us-east-2,101.50.109.61,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",83262e07-4357-43ae-864e-c4acf13a87f8,3e053dda-5406-42b8-a175-eb0d26aa4212,false,AwsApiCall,194303441336,Management
CloudTrail,ASIAS2PLDHG4NPC52BB7,2021-03-03T13:57:09Z,cloudtrail.amazonaws.com,CreateTrail,us-east-2,101.50.109.61,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:194303441336:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-194303441336-03dcd5b3""}]",05c02f06-414e-4eb5-8c48-355efe00278f,7b60cd45-2f4d-470d-8cf1-031a457e3fd9,false,AwsApiCall,194303441336,Management
CloudTrail,ASIAS2PLDHG4NPC52BB7,2021-03-03T13:57:09Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-2,101.50.109.61,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:194303441336:trail/Udacity_Trail""}]",8619ff20-0a5e-428a-a8fc-523b443602d9,b36aa7bd-8b94-40d0-b09d-e3b90f94bc3e,false,AwsApiCall,194303441336,Management
CloudTrail,ASIAS2PLDHG4NPC52BB7,2021-03-03T13:57:09Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-2,101.50.109.61,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:194303441336:trail/Udacity_Trail""}]",07e91b02-1401-47d2-b60c-568a705dc951,bf5c2f93-b9d7-4f31-9290-4df8989392bf,false,AwsApiCall,194303441336,Management
CloudTrail,ASIAS2PLDHG4NPC52BB7,2021-03-03T13:57:09Z,s3.amazonaws.com,PutBucketPolicy,us-east-2,101.50.109.61,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.955 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-194303441336-03dcd5b3""}]",X6FN151DZKC43KX7,e30ff934-efdb-42c2-b712-98d71e49964f,false,AwsApiCall,194303441336,Management
CloudTrail,ASIAS2PLDHG4HVSAPEXS,2021-03-03T13:53:55Z,cloudtrail.amazonaws.com,DeleteTrail,us-east-2,101.50.109.61,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:194303441336:trail/Udacity_Trail""}]",dec17d8f-774d-45e0-a40e-ace0e8628426,2930562d-b634-4b5a-98f8-d104c7ec8cf3,false,AwsApiCall,194303441336,Management
CloudTrail,ASIAS2PLDHG4LILHNAUF,2021-03-03T13:52:21Z,s3.amazonaws.com,CreateBucket,us-east-2,101.50.109.62,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.955 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-194303441336-654f3314""}]",B108TGP11HD2BB37,226060bd-3335-4dc3-8bd8-9d8c461fe7fa,false,AwsApiCall,194303441336,Management
CloudTrail,ASIAS2PLDHG4LILHNAUF,2021-03-03T13:52:21Z,s3.amazonaws.com,PutBucketPolicy,us-east-2,101.50.109.62,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.955 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-194303441336-654f3314""}]",DKXPF2PFR3BX6CHA,49714992-f1f0-4991-b3f9-5a4f95eb7769,false,AwsApiCall,194303441336,Management
